,Date,Startup Name,Industry,Sub-Vertical,City,Investors’ Name,Investment Type,Amount (In USD)
115,2017-03-15,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,"100,000"
116,2016-02-22,First Eat,Consumer Internet,Healthy Food Delivery platform,Delhi,Undisclosed investor,Seed Funding,"100,000"
117,2017-09-12,3HCare,Consumer Internet,Healthcare services portal,Delhi,Undisclosed Investor,Seed Funding,"100,000"
118,2015-11-21,Talkoot,Social platform for traders and investors,Social platform for traders and investors,Bengaluru,Undisclosed investors,Seed Funding,"100,000"
119,2015-12-03,EasyKhaana,Online Food ordering & Delivery platform,Online Food ordering & Delivery platform,Delhi,Undisclosed investors,Seed Funding,"100,000"
120,2016-03-07,Medidaili,Consumer Internet,Medical Support service platform,Bengaluru,Undisclosed private investors,Seed Funding,"100,000"
121,2016-06-29,LetReach,ECommerce,ECommerce SAAS Solutions,Delhi,vCommission,Private Equity,"100,000"
122,2016-04-29,LetReach,ECommerce,ECommerce SAAS Solutions,Delhi,vCommission,Private Equity,"100,000"
123,2017-01-10,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bengaluru,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"100,000"
124,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"104,000"
125,2017-01-30,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"106,000"
126,2016-03-17,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed Funding,"108,000"
127,2015-11-25,Tooler,On Demand Laundry Services App,On Demand Laundry Services App,Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,"110,000"
128,2015-03-28,Yogurt Labs,Industry / Vertical,Sub-Vertical,City / Location,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"115,000"
129,2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"118,000"
130,2016-07-28,Tiyo,Consumer Internet,Doctor Discovery & healthcare info platform,Kolkata,"Anish K, Ajith Nair",Seed Funding,"120,000"
131,2015-03-02,InstaLively,Industry / Vertical,Sub-Vertical,City / Location,Group of Angel Investors,Seed Funding,"120,000"
132,2015-06-20,Cupick,Social Network for Artists,Social Network for Artists,Bengaluru,Group of Angel Investors from US/India,Seed Funding,"120,000"
133,2015-04-06,InstaLively,Video Streaming,Video Streaming,Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"120,000"
134,2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Bengaluru,Y Combinator,Seed Funding,"120,000"
135,2015-03-23,RazorPay,Industry / Vertical,Sub-Vertical,City / Location,Y Combinator,Seed Funding,"120,000"
136,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,"120,000"
137,2017-03-08,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,"120,000"
138,2017-10-28,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,Delhi,Y Combinator,Seed Funding,"120,000"
139,2016-12-16,TripShelf,Consumer Internet,Holiday Packages provider,Delhi,"GEMS Advisory, Quarizon",Seed Funding,"123,000"
140,2015-09-21,LafaLafa,coupons and cashback aggregator app,coupons and cashback aggregator app,Mumbai,500 Startups,Seed Funding,"125,000"
141,2018-06-04,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,"125,000"
142,2016-02-12,ActOnMagic,Technology,Cloud Analytics and Management Products,Bengaluru,Jayabalan Subramanian,Seed Funding,"125,000"
143,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bengaluru,"PBS Srinivas, Vinod Martin,",Seed Funding,"125,000"
144,2015-01-07,Nurturey,Industry / Vertical,Sub-Vertical,City / Location,Seedrs Crowd funding platform,Crowd funding,"125,000"
145,2015-10-30,LiftO,Ridesharing Mobile app,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,"130,000"
146,2016-07-29,Lemon Leaf,Technology,Fresh Fruit and Vegetable Supply Chain Tech Builder,Delhi,"Saurabh Sahni, Tushar Gupta",Seed Funding,"133,000"
147,2015-01-05,Gympik,Industry / Vertical,Sub-Vertical,City / Location,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,"135,000"
148,2015-06-09,Teritree,Digital Marketing Services,Digital Marketing Services,Bengaluru,KCL,Seed Funding,"140,000"
149,2015-01-31,couponmachine.in,Industry / Vertical,Sub-Vertical,City / Location,UK based Group of Angel Investors,Seed Funding,"140,000"
150,2016-07-26,WakoW,Consumer Internet,Hyperlocal Interest based Mobile Social Network,Delhi,Undisclosed Investor,Seed Funding,"141,000"
151,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"143,000"
152,2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,"145,000"
153,2019-07-01,WizCounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,"145,000"
154,2016-02-26,Freedom Smart Labs,Technology,IoT retail solutions,Delhi,Kapil Goel,Seed Funding,"145,000"
155,2017-01-17,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bengaluru,"Ajith Nair, Anish K",Seed Funding,"147,000"
156,2016-12-06,Diro Labs,Consumer Internet,Mobile Contacts Management app,Delhi,Info Edge (India),Seed Funding,"147,000"
157,2016-11-17,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,"147,000"
158,2016-11-22,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,"147,000"
159,2016-11-22,Awesummly,Consumer Internet,Short News Mobile App,Bengaluru,"Vivek Bhargava, Ameera Shah",Seed Funding,"147,000"
160,2016-06-24,KabadiExpress,Others,Free Door Step Scrap Pickup Service,Delhi,Undisclosed investor,Seed Funding,"148,000"
161,2018-02-15,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey ,Seed / Angel Funding,"148,434"
162,2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurugram,Rajasthan Angel Investor Network & Others,Seed Funding,"149,000"
163,2017-12-21,EasyEcom,ECommerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,"150,000"
164,2016-11-04,Corseco,Technology,AI-based Software as a Service Solution provider,Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,"150,000"
165,2017-03-06,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurugram,"Aneesh Seth, Tushar Mittal",Seed Funding,"150,000"
166,2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"150,000"
167,2016-01-06,PlanMy,Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,"150,000"
168,2016-03-24,Horntell,Consumer Internet,Unified Push Notification service,Gurugram,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed Funding,"150,000"
169,2016-04-13,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,"150,000"
170,2016-09-10,CureInstant,Consumer Internet,Social Health Networking Platform,Delhi,Dr. Rameshwar Kumar,Seed Funding,"150,000"
171,2015-05-08,GrandOpinion,Online Medical Diagnostic,Online Medical Diagnostic,Delhi,Florida based Angel investor,Seed Funding,"150,000"
172,2016-03-15,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed Funding,"150,000"
173,2015-10-23,Leaping Caravan,Online food ordering & Delivery service,Online food ordering & Delivery service,Gurugram,Group of Angel investors,Seed Funding,"150,000"
174,2015-10-23,Medd,Personal Diagnostic Mobile App,Personal Diagnostic Mobile App,Mumbai,Group of Angel investors,Seed Funding,"150,000"
175,2016-05-12,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,"150,000"
176,2015-10-05,Rock N Shop,Premium Apparel shopping portal,Premium Apparel shopping portal,Delhi,High Networth Individuals (undisclosed),Seed Funding,"150,000"
177,2016-03-04,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,"150,000"
178,2015-11-09,Didi,On-demand Maids Service Provider,On-demand Maids Service Provider,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,"150,000"
179,2016-12-14,Qacco,Consumer Internet,Hotel Booking platform,Gurugram,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"150,000"
180,2015-12-11,OnlineRTI,Online RTI application services,Online RTI application services,Bengaluru,"LetsVenture, Mohandas Pai",Seed Funding,"150,000"
181,2015-12-29,Hotify,New Curation Mobile App,New Curation Mobile App,Bengaluru,Mahavir Pratap Sharma,Seed Funding,"150,000"
182,2018-04-05,IndigoLearn,Ed-Tech,Education/E-learning,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,"150,000"
183,2016-07-28,MaxWholesale,ECommerce,B2B Wholesale Marketplace,Delhi,"Maple Capital Advisors, Abhinav Grover",Seed Funding,"150,000"
184,2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,"150,000"
185,2018-02-16,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,"150,000"
186,2015-09-18,LabStreet,Diagnostic Labs aggregator platform,Diagnostic Labs aggregator platform,Gurugram,Multiple investors,Seed Funding,"150,000"
187,2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,Delhi,Newbie Promoters,Seed Funding,"150,000"
188,2015-09-04,Clapsnslaps,Online Movie Review Platform,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"150,000"
189,2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"150,000"
190,2017-04-10,Omnify,Technology,SaaS platform for SMEs,Bengaluru,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"150,000"
191,2015-06-03,Little Black Book Delhi,Online City & Lifestyle Guide,Online City & Lifestyle Guide,Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"150,000"
192,2016-11-30,Indofash,ECommerce,Ethnic Indian Fashion Marketplace,Bengaluru,"Shekhar Sahu, Nitesh Pant",Seed Funding,"150,000"
193,2016-07-29,Appsay,Consumer Internet,Customer Engagement Platform,Pune,"Shreyans Shah, Mayank Shah",Seed Funding,"150,000"
194,2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,"150,000"
195,2016-02-24,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,"150,000"
196,2015-03-11,Fitraq.com,Industry / Vertical,Sub-Vertical,City / Location,Tarun Arora,Seed Funding,"150,000"
197,2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,"150,000"
198,2016-01-05,360Ride,Consumer Internet,Ride Sharing platform,Bengaluru,Undisclosed,Seed Funding,"150,000"
