,Team,Year,Wins,Losses,Win%,Goals For,Goals Against,+/-
242,Ottawa Senators,1999,41,28,0.5,244,210,34
243,Philadelphia Flyers,1999,45,22,0.549,237,179,58
244,Phoenix Coyotes,1999,39,31,,232,228,4
245,Pittsburgh Penguins,1999,37,31,,241,236,5
246,San Jose Sharks,1999,35,30,,225,214,11
247,St. Louis Blues,1999,51,19,0.622,248,165,83
248,Tampa Bay Lightning,1999,19,47,,204,310,
249,Toronto Maple Leafs,1999,45,27,0.549,246,222,24
250,Vancouver Canucks,1999,30,29,,227,237,
251,Washington Capitals,1999,44,24,0.537,227,194,33
252,Mighty Ducks of Anaheim,2000,25,41,,188,245,
253,Atlanta Thrashers,2000,23,45,,211,289,
254,Boston Bruins,2000,36,30,,227,249,
255,Buffalo Sabres,2000,46,30,0.561,218,184,34
256,Calgary Flames,2000,27,36,,197,236,
257,Carolina Hurricanes,2000,38,32,,212,225,
258,Columbus Blue Jackets,2000,28,39,,190,233,
259,Chicago Blackhawks,2000,29,40,,210,246,
260,Colorado Avalanche,2000,52,16,0.634,270,192,78
261,Dallas Stars,2000,48,24,0.585,241,187,54
262,Detroit Red Wings,2000,49,20,0.598,253,202,51
263,Edmonton Oilers,2000,39,28,,243,222,21
264,Florida Panthers,2000,22,38,,200,246,
265,Los Angeles Kings,2000,38,28,,252,228,24
266,Minnesota Wild,2000,25,39,,168,210,
267,Montreal Canadiens,2000,28,40,,206,232,
268,Nashville Predators,2000,34,36,,186,200,
269,New Jersey Devils,2000,48,19,0.585,295,195,100
270,New York Islanders,2000,21,51,,185,268,
271,New York Rangers,2000,33,43,,250,290,
272,Ottawa Senators,2000,48,21,0.585,274,205,69
273,Philadelphia Flyers,2000,43,25,0.524,240,207,33
274,Phoenix Coyotes,2000,35,27,,214,212,2
275,Pittsburgh Penguins,2000,42,28,0.512,281,256,25
276,San Jose Sharks,2000,40,27,,217,192,25
277,St. Louis Blues,2000,43,22,0.524,249,195,54
278,Tampa Bay Lightning,2000,24,47,,201,280,
279,Toronto Maple Leafs,2000,37,29,,232,207,25
280,Vancouver Canucks,2000,36,28,,239,238,1
281,Washington Capitals,2000,41,27,0.5,233,211,22
282,Mighty Ducks of Anaheim,2001,29,42,,175,198,
283,Atlanta Thrashers,2001,19,47,,187,288,
284,Boston Bruins,2001,43,24,0.524,236,201,35
285,Buffalo Sabres,2001,35,35,,213,200,13
286,Calgary Flames,2001,32,35,,201,220,
287,Carolina Hurricanes,2001,35,26,,217,217,0
288,Columbus Blue Jackets,2001,22,47,,164,255,
289,Chicago Blackhawks,2001,41,27,0.5,216,207,9
290,Colorado Avalanche,2001,45,28,0.549,212,169,43
291,Dallas Stars,2001,36,28,,215,213,2
292,Detroit Red Wings,2001,51,17,0.622,251,187,64
293,Edmonton Oilers,2001,38,28,,205,182,23
294,Florida Panthers,2001,22,44,,180,250,
295,Los Angeles Kings,2001,40,27,,214,190,24
296,Minnesota Wild,2001,26,35,,195,238,
297,Montreal Canadiens,2001,36,31,,207,209,
298,Nashville Predators,2001,28,41,,196,230,
299,New Jersey Devils,2001,41,28,0.5,205,187,18
300,New York Islanders,2001,42,28,0.512,239,220,19
301,New York Rangers,2001,36,38,,227,258,
302,Ottawa Senators,2001,39,27,,243,208,35
303,Philadelphia Flyers,2001,42,27,0.512,234,192,42
304,Phoenix Coyotes,2001,40,27,,228,210,18
305,Pittsburgh Penguins,2001,28,41,,198,249,
306,San Jose Sharks,2001,44,27,0.537,248,199,49
307,St. Louis Blues,2001,43,27,0.524,227,188,39
308,Tampa Bay Lightning,2001,27,40,,178,219,
309,Toronto Maple Leafs,2001,43,25,0.524,249,207,42
310,Vancouver Canucks,2001,42,30,0.512,254,211,43
311,Washington Capitals,2001,36,33,,228,240,
312,Mighty Ducks of Anaheim,2002,40,27,,203,193,10
313,Atlanta Thrashers,2002,31,39,,226,284,
314,Boston Bruins,2002,36,31,,245,237,8
315,Buffalo Sabres,2002,27,37,,190,219,
316,Calgary Flames,2002,29,36,,186,228,
317,Carolina Hurricanes,2002,22,43,,171,240,
318,Columbus Blue Jackets,2002,29,42,,213,263,
319,Chicago Blackhawks,2002,30,33,,207,226,
320,Colorado Avalanche,2002,42,19,0.512,251,194,57
321,Dallas Stars,2002,46,17,0.561,245,169,76
322,Detroit Red Wings,2002,48,20,0.585,269,203,66
323,Edmonton Oilers,2002,36,26,,231,230,1
324,Florida Panthers,2002,24,36,,176,237,
325,Los Angeles Kings,2002,33,37,,203,221,
326,Minnesota Wild,2002,42,29,0.512,198,178,20
327,Montreal Canadiens,2002,30,35,,206,234,
328,Nashville Predators,2002,27,35,,183,206,
329,New Jersey Devils,2002,46,20,0.561,216,166,50
330,New York Islanders,2002,35,34,,224,231,
331,New York Rangers,2002,32,36,,210,231,
332,Ottawa Senators,2002,52,21,0.634,263,182,81
333,Philadelphia Flyers,2002,45,20,0.549,211,166,45
334,Phoenix Coyotes,2002,31,35,,204,230,
335,Pittsburgh Penguins,2002,27,44,,189,255,
336,San Jose Sharks,2002,28,37,,214,239,
337,St. Louis Blues,2002,41,24,0.5,253,222,31
338,Tampa Bay Lightning,2002,36,25,,219,210,9
339,Toronto Maple Leafs,2002,44,28,0.537,236,208,28
340,Vancouver Canucks,2002,45,23,0.549,264,208,56
341,Washington Capitals,2002,39,29,,224,220,4
342,Mighty Ducks of Anaheim,2003,29,35,,184,213,
343,Atlanta Thrashers,2003,33,37,,214,243,
344,Boston Bruins,2003,41,19,0.5,209,188,21
345,Buffalo Sabres,2003,37,34,,220,221,
346,Calgary Flames,2003,42,30,0.512,200,176,24
347,Carolina Hurricanes,2003,28,34,,172,209,
348,Columbus Blue Jackets,2003,25,45,,177,238,
349,Chicago Blackhawks,2003,20,43,,188,259,
350,Colorado Avalanche,2003,40,22,,236,198,38
351,Dallas Stars,2003,41,26,0.5,194,175,19
352,Detroit Red Wings,2003,48,21,0.585,255,189,66
353,Edmonton Oilers,2003,36,29,,221,208,13
354,Florida Panthers,2003,28,35,,188,221,
355,Los Angeles Kings,2003,28,29,,205,217,
356,Minnesota Wild,2003,30,29,,188,183,5
357,Montreal Canadiens,2003,41,30,0.5,208,192,16
358,Nashville Predators,2003,38,29,,216,217,
359,New Jersey Devils,2003,43,25,0.524,213,164,49
360,New York Islanders,2003,38,29,,237,210,27
361,New York Rangers,2003,27,40,,206,250,
362,Ottawa Senators,2003,43,23,0.524,262,189,73
363,Philadelphia Flyers,2003,40,21,,229,186,43
364,Phoenix Coyotes,2003,22,36,,188,245,
365,Pittsburgh Penguins,2003,23,47,,190,303,
366,San Jose Sharks,2003,43,21,0.524,219,183,36
367,St. Louis Blues,2003,39,30,,191,198,
368,Tampa Bay Lightning,2003,46,22,0.561,245,192,53
369,Toronto Maple Leafs,2003,45,24,0.549,242,204,38
370,Vancouver Canucks,2003,43,24,0.524,235,194,41
371,Washington Capitals,2003,23,46,,186,253,
372,Mighty Ducks of Anaheim,2005,43,27,0.524,254,229,25
373,Atlanta Thrashers,2005,41,33,0.5,281,275,6
374,Boston Bruins,2005,29,37,,230,266,
375,Buffalo Sabres,2005,52,24,0.634,281,239,42
376,Calgary Flames,2005,46,25,0.561,218,200,18
377,Carolina Hurricanes,2005,52,22,0.634,294,260,34
378,Columbus Blue Jackets,2005,35,43,,223,279,
379,Chicago Blackhawks,2005,26,43,,211,285,
380,Colorado Avalanche,2005,43,30,0.524,283,257,26
381,Dallas Stars,2005,53,23,0.646,265,218,47
382,Detroit Red Wings,2005,58,16,0.707,305,209,96
383,Edmonton Oilers,2005,41,28,0.5,256,251,5
384,Florida Panthers,2005,37,34,,240,257,
385,Los Angeles Kings,2005,42,35,0.512,249,270,
386,Minnesota Wild,2005,38,36,,231,215,16
387,Montreal Canadiens,2005,42,31,0.512,243,247,
388,Nashville Predators,2005,49,25,0.598,259,227,32
389,New Jersey Devils,2005,46,27,0.561,242,229,13
390,New York Islanders,2005,36,40,,230,278,
391,New York Rangers,2005,44,26,0.537,257,215,42
392,Ottawa Senators,2005,52,21,0.634,314,211,103
393,Philadelphia Flyers,2005,45,26,0.549,267,259,8
394,Phoenix Coyotes,2005,38,39,,246,271,
395,Pittsburgh Penguins,2005,22,46,,244,316,
396,San Jose Sharks,2005,44,27,0.537,266,242,24
397,St. Louis Blues,2005,21,46,,197,292,
398,Tampa Bay Lightning,2005,43,33,0.524,252,260,
399,Toronto Maple Leafs,2005,41,33,0.5,257,270,
400,Vancouver Canucks,2005,42,32,0.512,256,255,1
401,Washington Capitals,2005,29,41,,237,306,
402,Anaheim Ducks,2006,48,20,0.585,258,208,50
403,Atlanta Thrashers,2006,43,28,0.524,246,245,1
404,Boston Bruins,2006,35,41,,219,289,
405,Buffalo Sabres,2006,53,22,0.646,308,242,66
406,Calgary Flames,2006,43,29,0.524,258,226,32
407,Carolina Hurricanes,2006,40,34,,241,253,
408,Columbus Blue Jackets,2006,33,42,,201,249,
409,Chicago Blackhawks,2006,31,42,,201,258,
410,Colorado Avalanche,2006,44,31,0.537,272,251,21
411,Dallas Stars,2006,50,25,0.61,226,197,29
412,Detroit Red Wings,2006,50,19,0.61,254,199,55
413,Edmonton Oilers,2006,32,43,,195,248,
414,Florida Panthers,2006,35,31,,247,257,
415,Los Angeles Kings,2006,27,41,,227,283,
416,Minnesota Wild,2006,48,26,0.585,235,191,44
417,Montreal Canadiens,2006,42,34,0.512,245,256,
418,Nashville Predators,2006,51,23,0.622,272,212,60
419,New Jersey Devils,2006,49,24,0.598,216,201,15
420,New York Islanders,2006,40,30,,248,240,8
421,New York Rangers,2006,42,30,0.512,242,216,26
422,Ottawa Senators,2006,48,25,0.585,288,222,66
423,Philadelphia Flyers,2006,22,48,,214,303,
424,Phoenix Coyotes,2006,31,46,,216,284,
425,Pittsburgh Penguins,2006,47,24,0.573,277,246,31
426,San Jose Sharks,2006,51,26,0.622,258,199,59
427,St. Louis Blues,2006,34,35,,214,254,
428,Tampa Bay Lightning,2006,44,33,0.537,253,261,
429,Toronto Maple Leafs,2006,40,31,,258,269,
430,Vancouver Canucks,2006,49,26,0.598,222,201,21
431,Washington Capitals,2006,28,40,,235,286,
432,Anaheim Ducks,2007,47,27,0.573,205,191,14
433,Atlanta Thrashers,2007,34,40,,216,272,
434,Boston Bruins,2007,41,29,0.5,212,222,
435,Buffalo Sabres,2007,39,31,,255,242,13
436,Calgary Flames,2007,42,30,0.512,229,227,2
437,Carolina Hurricanes,2007,43,33,0.524,252,249,3
438,Columbus Blue Jackets,2007,34,36,,193,218,
439,Chicago Blackhawks,2007,40,34,,239,235,4
440,Colorado Avalanche,2007,44,31,0.537,231,219,12
441,Dallas Stars,2007,45,30,0.549,242,207,35
442,Detroit Red Wings,2007,54,21,0.659,257,184,73
443,Edmonton Oilers,2007,41,35,0.5,235,251,
444,Florida Panthers,2007,38,35,,216,226,
445,Los Angeles Kings,2007,32,43,,231,266,
446,Minnesota Wild,2007,44,28,0.537,223,218,5
447,Montreal Canadiens,2007,47,25,0.573,262,222,40
448,Nashville Predators,2007,41,32,0.5,230,229,1
449,New Jersey Devils,2007,46,29,0.561,206,197,9
450,New York Islanders,2007,35,38,,194,243,
451,New York Rangers,2007,42,27,0.512,213,199,14
452,Ottawa Senators,2007,43,31,0.524,261,247,14
453,Philadelphia Flyers,2007,42,29,0.512,248,233,15
454,Phoenix Coyotes,2007,38,37,,214,231,
455,Pittsburgh Penguins,2007,47,27,0.573,247,216,31
456,San Jose Sharks,2007,49,23,0.598,222,193,29
457,St. Louis Blues,2007,33,36,,205,237,
458,Tampa Bay Lightning,2007,31,42,,223,267,
459,Toronto Maple Leafs,2007,36,35,,231,260,
460,Vancouver Canucks,2007,39,33,,213,215,
461,Washington Capitals,2007,43,31,0.524,242,231,11
462,Anaheim Ducks,2008,42,33,0.512,245,238,7
463,Atlanta Thrashers,2008,35,41,,257,280,
464,Boston Bruins,2008,53,19,0.646,274,196,78
465,Buffalo Sabres,2008,41,32,0.5,250,234,16
466,Calgary Flames,2008,46,30,0.561,254,248,6
467,Carolina Hurricanes,2008,45,30,0.549,239,226,13
468,Columbus Blue Jackets,2008,41,31,0.5,226,230,
469,Chicago Blackhawks,2008,46,24,0.561,264,216,48
470,Colorado Avalanche,2008,32,45,,199,257,
471,Dallas Stars,2008,36,35,,230,257,
472,Detroit Red Wings,2008,51,21,0.622,295,244,51
473,Edmonton Oilers,2008,38,35,,234,248,
474,Florida Panthers,2008,41,30,0.5,234,231,3
475,Los Angeles Kings,2008,34,37,,207,234,
476,Minnesota Wild,2008,40,33,,219,200,19
477,Montreal Canadiens,2008,41,30,0.5,249,247,2
478,Nashville Predators,2008,40,34,,213,233,
479,New Jersey Devils,2008,51,27,0.622,244,209,35
480,New York Islanders,2008,26,47,,201,279,
481,New York Rangers,2008,43,30,0.524,210,218,
482,Ottawa Senators,2008,36,35,,217,237,
483,Philadelphia Flyers,2008,44,27,0.537,264,238,26
484,Phoenix Coyotes,2008,36,39,,208,252,
485,Pittsburgh Penguins,2008,45,28,0.549,264,239,25
486,San Jose Sharks,2008,53,18,0.646,257,204,53
487,St. Louis Blues,2008,41,31,0.5,233,233,0
488,Tampa Bay Lightning,2008,24,40,,210,279,
489,Toronto Maple Leafs,2008,34,35,,250,293,
490,Vancouver Canucks,2008,45,27,0.549,246,220,26
491,Washington Capitals,2008,50,24,0.61,272,245,27
492,Anaheim Ducks,2009,39,32,,238,251,
493,Atlanta Thrashers,2009,35,34,,234,256,
494,Boston Bruins,2009,39,30,,206,200,6
495,Buffalo Sabres,2009,45,27,0.549,235,207,28
496,Calgary Flames,2009,40,32,,204,210,
497,Carolina Hurricanes,2009,35,37,,230,256,
498,Columbus Blue Jackets,2009,32,35,,216,259,
499,Chicago Blackhawks,2009,52,22,0.634,271,209,62
500,Colorado Avalanche,2009,43,30,0.524,244,233,11
501,Dallas Stars,2009,37,31,,237,254,
502,Detroit Red Wings,2009,44,24,0.537,229,216,13
503,Edmonton Oilers,2009,27,47,,214,284,
504,Florida Panthers,2009,32,37,,208,244,
505,Los Angeles Kings,2009,46,27,0.561,241,219,22
506,Minnesota Wild,2009,38,36,,219,246,
507,Montreal Canadiens,2009,39,33,,217,223,
508,Nashville Predators,2009,47,29,0.573,225,225,0
509,New Jersey Devils,2009,48,27,0.585,222,191,31
510,New York Islanders,2009,34,37,,222,264,
511,New York Rangers,2009,38,33,,222,218,4
512,Ottawa Senators,2009,44,32,0.537,225,238,
513,Philadelphia Flyers,2009,41,35,0.5,236,225,11
514,Phoenix Coyotes,2009,50,25,0.61,225,202,23
515,Pittsburgh Penguins,2009,47,28,0.573,257,237,20
516,San Jose Sharks,2009,51,20,0.622,264,215,49
517,St. Louis Blues,2009,40,32,,225,223,2
518,Tampa Bay Lightning,2009,34,36,,217,260,
519,Toronto Maple Leafs,2009,30,38,,214,267,
520,Vancouver Canucks,2009,49,28,0.598,272,222,50
521,Washington Capitals,2009,54,15,0.659,318,233,85
522,Anaheim Ducks,2010,47,30,0.573,239,235,4
523,Atlanta Thrashers,2010,34,36,,223,269,
524,Boston Bruins,2010,46,25,0.561,246,195,51
525,Buffalo Sabres,2010,43,29,0.524,245,229,16
526,Calgary Flames,2010,41,29,0.5,250,237,13
